Time,LHeel,LTOE,RHeel,RTOE
0.01,0.15291,0.24921,-0.06458,0.02562
0.02,0.15775,0.25393,-0.066,0.02455
0.03,0.16474,0.26074,-0.06433,0.02699
0.04,0.16555,0.2619,-0.06751,0.02441
0.05,0.17401,0.27027,-0.06187,0.03051
0.06,0.17895,0.27539,-0.06008,0.03233
0.07,0.18629,0.28281,-0.05547,0.03701
0.08,0.19035,0.28683,-0.0522,0.04026
0.09,0.19458,0.29102,-0.04921,0.04314
0.1,0.20327,0.29958,-0.04019,0.05202
0.11,0.21086,0.30712,-0.03246,0.05962
0.12,0.21755,0.31397,-0.0263,0.06546
0.13,0.2275,0.32356,-0.01495,0.07667
0.14,0.23348,0.32935,-0.0081,0.08329
0.15,0.2385,0.33397,-0.001,0.09032
0.16,0.24403,0.33888,0.00667,0.09762
0.17,0.24707,0.34154,0.0128,0.10355
0.18,0.25349,0.34729,0.02267,0.11305
0.19,0.2485,0.34185,0.02233,0.11274
0.2,0.2482,0.34096,0.02761,0.11786
0.21,0.2449,0.33735,0.02978,0.11981
0.22,0.24432,0.33607,0.03737,0.12729
0.23,0.2381,0.32917,0.04013,0.13004
0.24,0.2251,0.31561,0.03619,0.12626
0.25,0.21809,0.30807,0.0411,0.13126
0.26,0.20514,0.29476,0.04023,0.1306
0.27,0.19217,0.28167,0.04056,0.13129
0.28,0.17935,0.26918,0.04141,0.13219
0.29,0.16535,0.25536,0.04217,0.13295
0.3,0.15161,0.24232,0.04423,0.13528
0.31,0.13831,0.23001,0.0459,0.13684
0.32,0.12302,0.21544,0.04707,0.1381
0.33,0.1078,0.20076,0.04855,0.13955
0.34,0.09373,0.18715,0.05193,0.14299
0.35,0.07736,0.17123,0.05279,0.14388
0.36,0.06231,0.15678,0.05493,0.14586
0.37,0.04588,0.14073,0.05484,0.14586
0.38,0.03096,0.1258,0.05847,0.14958
0.39,0.01714,0.11198,0.06162,0.15272
0.4,0.00271,0.09732,0.06429,0.15549
0.41,-0.00891,0.08549,0.06949,0.16068
0.42,-0.02259,0.07162,0.07178,0.16301
0.43,-0.0357,0.05813,0.07469,0.16601
0.44,-0.04601,0.04748,0.07957,0.17094
0.45,-0.05543,0.03796,0.08391,0.17524
0.46,-0.06308,0.02995,0.0904,0.18175
0.47,-0.07335,0.01927,0.09218,0.18355
0.48,-0.08006,0.0121,0.09843,0.18982
0.49,-0.08281,0.00877,0.10729,0.19876
0.5,-0.08526,0.00688,0.11544,0.20682
0.51,-0.08891,0.00356,0.12182,0.21324
0.52,-0.08853,0.00462,0.13052,0.22181
0.53,-0.08921,0.00428,0.137,0.22823
0.54,-0.08584,0.00788,0.1465,0.23759
0.55,-0.08563,0.00804,0.15112,0.2422
0.56,-0.07905,0.0152,0.1607,0.25156
0.57,-0.07572,0.01961,0.16628,0.25711
0.58,-0.07381,0.02295,0.17101,0.26181
0.59,-0.06808,0.02973,0.18019,0.27075
0.6,-0.06327,0.03505,0.18936,0.2796
0.61,-0.05924,0.03922,0.19741,0.28753
0.62,-0.05261,0.04615,0.20486,0.29476
0.63,-0.04887,0.04958,0.20909,0.2988
0.64,-0.04195,0.05617,0.21571,0.30508
0.65,-0.03332,0.06433,0.22348,0.31242
0.66,-0.02759,0.0693,0.22844,0.31702
0.67,-0.01827,0.07798,0.23633,0.32445
0.68,-0.01235,0.08348,0.24029,0.32787
0.69,-0.00268,0.09268,0.24817,0.33513
0.7,0.005,0.10039,0.25359,0.33946
0.71,0.01319,0.10861,0.25952,0.34415
0.72,0.02021,0.11564,0.26414,0.34732
0.73,0.02843,0.12393,0.26929,0.35109
0.74,0.03501,0.13051,0.27235,0.35297
0.75,0.04402,0.1394,0.27695,0.35651
0.76,0.05018,0.14563,0.27753,0.35651
0.77,0.05848,0.15387,0.27869,0.35735
0.78,0.06525,0.16056,0.27723,0.35578
0.79,0.07177,0.16701,0.27443,0.35307
0.8,0.07397,0.16928,0.26682,0.34619
0.81,0.07725,0.17261,0.25885,0.33902
0.82,0.08029,0.17581,0.24884,0.32969
0.83,0.08155,0.17703,0.23757,0.31943
0.84,0.08071,0.17633,0.22295,0.30618
0.85,0.08235,0.17812,0.20943,0.29366
0.86,0.08152,0.17753,0.19325,0.27844
0.87,0.08216,0.17835,0.17777,0.26359
0.88,0.08085,0.17713,0.16027,0.24669
0.89,0.08249,0.17885,0.14498,0.232
0.9,0.08428,0.18082,0.12932,0.2167
0.91,0.08519,0.18185,0.11303,0.20047
0.92,0.08723,0.18399,0.09701,0.18479
0.93,0.08951,0.18642,0.08167,0.16953
0.94,0.09078,0.18781,0.06612,0.15388
0.95,0.09295,0.19016,0.05096,0.13853
0.96,0.09438,0.1917,0.03576,0.12302
0.97,0.09442,0.19193,0.02006,0.10688
0.98,0.0961,0.19392,0.00553,0.09168
0.99,0.09607,0.194,-0.00915,0.07635
1.0,0.09846,0.19668,-0.02196,0.06252
1.01,0.09918,0.19761,-0.03564,0.04797
1.02,0.10072,0.19922,-0.04822,0.03453
1.03,0.10522,0.20374,-0.05642,0.02571
1.04,0.1063,0.20495,-0.06821,0.01321
1.05,0.10928,0.20792,-0.07683,0.0041
1.06,0.10696,0.20542,-0.08906,-0.00873
1.07,0.11366,0.21219,-0.0936,-0.01367
1.08,0.11741,0.21582,-0.09927,-0.01956
1.09,0.12366,0.22213,-0.10232,-0.02246
1.1,0.12879,0.22698,-0.10473,-0.02445
1.11,0.1343,0.23248,-0.10686,-0.0265
1.12,0.1382,0.23627,-0.10868,-0.02822
1.13,0.14509,0.24316,-0.10702,-0.02528
1.14,0.15406,0.25186,-0.10206,-0.0181
1.15,0.16271,0.26053,-0.09871,-0.01162
1.16,0.17131,0.26884,-0.09553,-0.0063
1.17,0.18178,0.27931,-0.09159,-0.00132
1.18,0.18658,0.28426,-0.0924,-0.00122
1.19,0.19448,0.29219,-0.08763,0.00428
1.2,0.20276,0.30032,-0.08141,0.011
1.21,0.21159,0.30928,-0.07546,0.01701
1.22,0.21743,0.31516,-0.0711,0.0213
1.23,0.22598,0.32371,-0.06358,0.02865
1.24,0.22995,0.32764,-0.05998,0.03207
1.25,0.23506,0.33281,-0.05562,0.03618
1.26,0.24362,0.34091,-0.04607,0.04573
1.27,0.24701,0.34411,-0.04242,0.04925
1.28,0.25356,0.35057,-0.0351,0.05642
1.29,0.25728,0.35342,-0.02875,0.0628
1.3,0.25787,0.35374,-0.02572,0.06575
1.31,0.26134,0.35671,-0.01818,0.07328
1.32,0.26199,0.35682,-0.01235,0.07902
1.33,0.26226,0.35656,-0.00618,0.08497
1.34,0.26014,0.35346,-0.0005,0.09059
1.35,0.25722,0.3495,0.0057,0.09676
1.36,0.25037,0.3421,0.00752,0.09847
1.37,0.24166,0.33246,0.01032,0.10142
1.38,0.23538,0.32553,0.01649,0.10763
1.39,0.22214,0.31244,0.01626,0.10754
1.4,0.20845,0.2992,0.01688,0.10832
