Time,RH.ACC.X,RH.ACC.Y,RH.ACC.Z,RH.GY.X,RH.GY.Y,RH.GY.Z,LH.ACC.X,LH.ACC.Y,LH.ACC.Z,LH.GY.X,LH.GY.Y,LH.GY.Z,RT.ACC.X,RT.ACC.Y,RT.ACC.Z,RT.GY.X,RT.GY.Y,RT.GY.Z,LT.ACC.X,LT.ACC.Y,LT.ACC.Z,LT.GY.X,LT.GY.Y,LT.GY.Z
0,-0.2714844,-1.588867,0.3134766,60.12195,-75.85366,-177.439,-2.337891,-1.500977,1.968262,21.03659,77.92683,79.39024,-0.09960938,-0.6401367,1.025879,-250.122,23.78049,58.47561,-0.5996094,-2.619141,-1.832031,-117.3781,57.56098,-24.5122
0.0027,-0.2773438,-1.548828,0.1879883,49.08537,-77.37805,-176.0976,-2.310547,-1.492188,1.911621,28.47561,90.36585,96.95123,-0.08349609,-0.5610352,0.9775391,-254.939,12.2561,60.42683,-0.628418,-2.605469,-1.692383,-129.7561,60.54878,-27.19512
0.0054,-0.253418,-1.5625,0.1796875,41.70732,-76.82927,-177.8049,-2.232422,-1.452148,1.775391,35.4878,99.93903,111.8293,-0.02783203,-0.3964844,0.8071289,-266.2195,10.36585,62.5,-0.6704102,-2.612305,-1.397949,-150.1219,63.41463,-32.19512
0.0081,-0.1723633,-1.657715,0.2563477,31.58537,-73.59756,-188.4146,-2.184082,-1.418945,1.694336,37.9878,104.0854,118.3537,-0.01708984,-0.3496094,0.7363281,-275.061,14.26829,63.47561,-0.6865234,-2.625,-1.258301,-158.4146,63.53659,-35.54878
0.0108,-0.1547852,-1.709473,0.2924805,31.34146,-73.23171,-196.4025,-1.943359,-1.759766,1.385742,31.09756,105.7927,135.061,-0.08154297,-0.3662109,0.7744141,-295.9756,23.65854,65.85366,-0.6938477,-2.661621,-1.016602,-172.5,61.03659,-42.07317
0.0135,-0.2636719,-1.723145,0.1821289,37.43903,-75.91463,-210,-1.720703,-2.212891,1.394043,14.32927,107.1341,159.8171,-0.1220703,-0.4067383,0.8911133,-305.4268,25.48781,66.58537,-0.6933594,-2.671875,-0.9067383,-178.5366,58.90244,-45.2439
0.0162,-0.3417969,-1.692383,0.05517578,39.69512,-76.89024,-212.9878,-1.501465,-2.752441,1.611328,-16.89024,121.2805,230.7927,-0.1445313,-0.4379883,1.047852,-316.9512,21.03659,65.67073,-0.6225586,-2.660645,-0.7231445,-190.6707,55.30488,-52.13415
0.0189,-0.3686523,-1.638672,-0.1416016,37.62195,-74.57317,-214.8171,-1.473145,-2.70166,1.66748,-22.7439,126.3415,263.8415,-0.1489258,-0.394043,0.9624023,-320.061,19.14634,65.48781,-0.465332,-2.603516,-0.5522461,-196.9512,56.34146,-56.15854
0.0216,-0.3183594,-1.644531,-0.1723633,31.52439,-65.12196,-219.939,-1.284668,-1.847168,1.86084,27.37805,135.1829,265.9146,-0.1469727,-0.2695313,0.5922852,-332.8659,21.70732,68.84147,-0.3876953,-2.53125,-0.4291992,-207.6829,67.56097,-63.47561
0.0243,-0.109375,-1.725586,-0.08105469,30.48781,-59.45122,-227.0732,-1.495605,-1.821777,2.477539,94.2683,131.5244,234.0244,-0.1352539,-0.2416992,0.4682617,-345.061,25.2439,70.73171,-0.2705078,-2.242676,-0.09179688,-212.561,75.36585,-64.14634
0.027,-0.008789063,-1.831543,0.004394531,34.2683,-52.92683,-249.5122,-0.9707031,-2.498047,2.721191,283.4756,125.2439,189.2073,-0.109375,-0.293457,0.4667969,-375,29.93903,69.87805,-0.1523438,-1.963867,0.1972656,-236.6463,94.57317,-59.69512
0.0297,-0.05175781,-1.852051,-0.03808594,38.10976,-50.79268,-259.5122,2.055664,-3.247559,0.2016602,360.9756,123.2927,172.5,-0.1098633,-0.3461914,0.5400391,-389.4512,29.20732,67.0122,-0.05761719,-0.784668,1.807129,-322.561,144.5122,-45.79268
