Time,LHeel,LTOE,RHeel,RTOE
0.01,0.32219,0.40173,-0.29469,-0.19802
0.02,0.31377,0.39626,-0.29892,-0.20512
0.03,0.31171,0.39653,-0.30222,-0.21091
0.04,0.30866,0.39476,-0.30718,-0.21907
0.05,0.30733,0.39477,-0.30849,-0.22423
0.06,0.314,0.40283,-0.29837,-0.21767
0.07,0.28919,0.37925,-0.31633,-0.24232
0.08,0.27256,0.36329,-0.32372,-0.25774
0.09,0.25086,0.34277,-0.3327,-0.27557
0.1,0.23621,0.32899,-0.33342,-0.28439
0.11,0.2194,0.31251,-0.33367,-0.29242
0.12,0.20349,0.29662,-0.33057,-0.29595
0.13,0.18882,0.28214,-0.32524,-0.29545
0.14,0.17603,0.2692,-0.31542,-0.28756
0.15,0.16316,0.25609,-0.30376,-0.27632
0.16,0.1472,0.23975,-0.29281,-0.26393
0.17,0.13435,0.22648,-0.27726,-0.24539
0.18,0.12381,0.21594,-0.26055,-0.22489
0.19,0.10832,0.20031,-0.24651,-0.20717
0.2,0.09571,0.18755,-0.22885,-0.18587
0.21,0.08871,0.18058,-0.20682,-0.15979
0.22,0.08073,0.17251,-0.18417,-0.13352
0.23,0.072,0.16382,-0.16239,-0.10763
0.24,0.06486,0.15646,-0.13747,-0.07815
0.25,0.05492,0.14661,-0.11602,-0.05177
0.26,0.04281,0.13454,-0.09497,-0.02657
0.27,0.02992,0.12124,-0.07215,0.00109
0.28,0.02529,0.11661,-0.04331,0.03461
0.29,0.01001,0.1015,-0.02329,0.0579
0.3,-0.00345,0.0881,-0.00022,0.08383
0.31,-0.01567,0.07587,0.02392,0.11069
0.32,-0.02827,0.06341,0.0486,0.13737
0.33,-0.04571,0.04623,0.06989,0.16019
0.34,-0.05277,0.03932,0.10057,0.19244
0.35,-0.07362,0.0185,0.11994,0.21302
0.36,-0.08578,0.00638,0.14707,0.24104
0.37,-0.10289,-0.01053,0.16939,0.26369
0.38,-0.11355,-0.02113,0.19742,0.29181
0.39,-0.1278,-0.03535,0.22194,0.31611
0.4,-0.14363,-0.05123,0.24406,0.33783
0.41,-0.1556,-0.06303,0.26831,0.36098
0.42,-0.17087,-0.07828,0.28766,0.37905
0.43,-0.18306,-0.09042,0.30717,0.3968
0.44,-0.19592,-0.10357,0.32322,0.41128
0.45,-0.20986,-0.11764,0.33535,0.42165
0.46,-0.21991,-0.12747,0.34579,0.42997
0.47,-0.2251,-0.13271,0.35774,0.44031
0.48,-0.2391,-0.14685,0.35725,0.43941
0.49,-0.24836,-0.1568,0.35808,0.44053
0.5,-0.26232,-0.17171,0.34991,0.43362
0.51,-0.27497,-0.18572,0.34039,0.42593
0.52,-0.29097,-0.20361,0.32455,0.41307
0.53,-0.2995,-0.21414,0.31011,0.40037
0.54,-0.30873,-0.22614,0.29896,0.39102
0.55,-0.31386,-0.23469,0.29452,0.38774
0.56,-0.31143,-0.2362,0.29639,0.3909
0.57,-0.30948,-0.23941,0.29163,0.38788
0.58,-0.31047,-0.24614,0.28132,0.37885
0.59,-0.3186,-0.26261,0.26065,0.35887
0.6,-0.31839,-0.27076,0.24874,0.34774
0.61,-0.31816,-0.2786,0.23366,0.33326
0.62,-0.31723,-0.28519,0.21667,0.31646
0.63,-0.30634,-0.28018,0.20838,0.30813
0.64,-0.29562,-0.2736,0.19737,0.29702
0.65,-0.28811,-0.26879,0.18175,0.28135
0.66,-0.28521,-0.26582,0.15979,0.25932
0.67,-0.26098,-0.23689,0.15914,0.25834
0.68,-0.24872,-0.22096,0.14475,0.24392
0.69,-0.22808,-0.19596,0.1378,0.2367
0.7,-0.21341,-0.17749,0.12293,0.22179
0.71,-0.19059,-0.15062,0.11658,0.21527
0.72,-0.17663,-0.13381,0.10022,0.19898
0.73,-0.14658,-0.09805,0.10049,0.199
0.74,-0.12638,-0.07405,0.0907,0.18929
0.75,-0.11012,-0.05385,0.07438,0.17301
0.76,-0.08709,-0.02665,0.06515,0.16379
0.77,-0.06963,-0.00521,0.04918,0.14784
0.78,-0.04607,0.02207,0.03908,0.13773
0.79,-0.02743,0.04312,0.02421,0.12318
0.8,-0.00824,0.06509,0.00727,0.1062
0.81,0.01498,0.09018,-0.00569,0.09337
0.82,0.03938,0.11521,-0.01911,0.08001
0.83,0.05973,0.13774,-0.03374,0.06575
0.84,0.0846,0.16478,-0.04706,0.05235
0.85,0.09899,0.17921,-0.07006,0.02984
0.86,0.12675,0.20809,-0.08134,0.0185
0.87,0.15393,0.23607,-0.09281,0.00705
0.88,0.17699,0.25947,-0.10962,-0.00969
0.89,0.20213,0.28487,-0.12269,-0.02264
0.9,0.22546,0.30798,-0.13783,-0.03769
0.91,0.24976,0.33197,-0.14985,-0.0497
0.92,0.27125,0.35304,-0.16417,-0.06409
0.93,0.28845,0.369,-0.17973,-0.07955
0.94,0.30579,0.38479,-0.19338,-0.09325
0.95,0.31748,0.39528,-0.20929,-0.10928
0.96,0.33373,0.40974,-0.21778,-0.11782
0.97,0.34294,0.4176,-0.22991,-0.13014
0.98,0.354,0.42685,-0.23626,-0.1367
0.99,0.35789,0.43001,-0.24631,-0.14715
1,0.36131,0.43317,-0.25229,-0.15373
1.01,0.35165,0.42463,-0.26769,-0.17017
1.02,0.34075,0.41633,-0.28124,-0.1851
1.03,0.33207,0.41008,-0.2887,-0.19418
1.04,0.31622,0.39738,-0.30488,-0.21301
1.05,0.30854,0.39186,-0.31625,-0.22771
1.06,0.3108,0.39586,-0.31529,-0.22992
1.07,0.30251,0.39017,-0.32128,-0.24047
1.08,0.29501,0.38427,-0.32241,-0.24717
1.09,0.27933,0.36913,-0.33043,-0.26246
1.1,0.26359,0.35448,-0.33503,-0.276
1.11,0.2505,0.34246,-0.33503,-0.28487
1.12,0.23216,0.32454,-0.33706,-0.29613
1.13,0.21854,0.31122,-0.33296,-0.29987
1.14,0.20403,0.29682,-0.32721,-0.30035
1.15,0.18946,0.28195,-0.31912,-0.29569
1.16,0.17631,0.26845,-0.308,-0.28551
1.17,0.16233,0.25407,-0.29606,-0.27197
1.18,0.14789,0.23911,-0.28206,-0.25453
1.19,0.13389,0.22462,-0.26687,-0.23454
1.2,0.12099,0.21141,-0.25,-0.21359
1.21,0.10661,0.19679,-0.23392,-0.1938
1.22,0.0961,0.186,-0.21346,-0.16907
1.23,0.08423,0.17398,-0.19437,-0.14569
1.24,0.07558,0.16538,-0.17263,-0.11971
1.25,0.06946,0.1592,-0.14807,-0.0906
1.26,0.06213,0.1518,-0.12315,-0.0608
1.27,0.0464,0.13599,-0.10539,-0.03873
1.28,0.03464,0.1243,-0.08286,-0.01213
1.29,0.02482,0.11434,-0.05779,0.01683
1.3,0.00652,0.09602,-0.0393,0.0388
1.31,-0.00737,0.08225,-0.01697,0.06464
1.32,-0.0233,0.0665,0.00492,0.08919
1.33,-0.03491,0.05498,0.03185,0.1191
1.34,-0.05396,0.03653,0.05182,0.14091
1.35,-0.07248,0.01805,0.07298,0.16428
1.36,-0.07394,0.01685,0.11086,0.20422
1.37,-0.09349,-0.00243,0.13231,0.22685
1.38,-0.10958,-0.01823,0.15687,0.25219
1.39,-0.1213,-0.02992,0.18578,0.28172
1.4,-0.13715,-0.04574,0.21016,0.30632
1.41,-0.14768,-0.05621,0.2391,0.33493
1.42,-0.15908,-0.06786,0.26566,0.36073
1.43,-0.17413,-0.08279,0.28594,0.37951
1.44,-0.18989,-0.09874,0.305,0.39715
1.45,-0.20106,-0.10988,0.32339,0.41319
1.46,-0.21389,-0.12306,0.33789,0.42552
1.47,-0.22721,-0.13587,0.34755,0.43334
1.48,-0.23698,-0.14634,0.357,0.44129
1.49,-0.24521,-0.15429,0.36137,0.4442
1.5,-0.25723,-0.16677,0.36079,0.44413
1.51,-0.26916,-0.17933,0.35501,0.43899
1.52,-0.28535,-0.19686,0.34162,0.42719
1.53,-0.29352,-0.20686,0.33312,0.4207
1.54,-0.30273,-0.21778,0.32051,0.41035
1.55,-0.31901,-0.23725,0.30565,0.39799
1.56,-0.31898,-0.2402,0.30676,0.40014
1.57,-0.32044,-0.24614,0.30301,0.39837
1.58,-0.32367,-0.25561,0.2931,0.39034
1.59,-0.32855,-0.26803,0.27805,0.37631
1.6,-0.33747,-0.28631,0.25666,0.35572
1.61,-0.34187,-0.29941,0.23756,0.33726
1.62,-0.34236,-0.30817,0.22049,0.32052
1.63,-0.33484,-0.30765,0.20929,0.30937
1.64,-0.32658,-0.30583,0.19655,0.29663
1.65,-0.3115,-0.29455,0.1881,0.28803
1.66,-0.30473,-0.28918,0.17034,0.27013
1.67,-0.29341,-0.27586,0.15644,0.25607
1.68,-0.2729,-0.25136,0.14959,0.24887
1.69,-0.25788,-0.23256,0.13569,0.23476
1.7,-0.23731,-0.20761,0.12751,0.22641
1.71,-0.21862,-0.18475,0.11613,0.2148
1.72,-0.20031,-0.16295,0.1029,0.2014
1.73,-0.17558,-0.13335,0.09705,0.19539
1.74,-0.15737,-0.11196,0.0829,0.18118
1.75,-0.13576,-0.08596,0.07181,0.16994
1.76,-0.11311,-0.0592,0.06297,0.1612
1.77,-0.08732,-0.02865,0.05544,0.15352
1.78,-0.06224,0.00061,0.04663,0.14471
1.79,-0.04689,0.01892,0.0274,0.1257
1.8,-0.02004,0.04929,0.01997,0.11835
1.81,-0.00193,0.0702,0.00244,0.10103
1.82,0.02306,0.09783,-0.00867,0.09003
1.83,0.04242,0.11872,-0.02787,0.07089
1.84,0.065,0.14346,-0.0429,0.05597
1.85,0.08269,0.16241,-0.06291,0.03615
1.86,0.11055,0.19129,-0.0728,0.02641
1.87,0.12538,0.20656,-0.09758,0.00178
1.88,0.1527,0.23425,-0.10888,-0.00938
1.89,0.17413,0.25626,-0.12793,-0.02858
1.9,0.20204,0.28411,-0.13735,-0.03796
1.91,0.22469,0.30611,-0.15219,-0.05279
1.92,0.24295,0.32393,-0.17154,-0.07231
1.93,0.26152,0.34119,-0.18668,-0.08736
1.94,0.2856,0.36352,-0.19281,-0.09345
1.95,0.29677,0.37389,-0.21201,-0.11289
1.96,0.31358,0.38926,-0.22037,-0.12129
1.97,0.32813,0.40139,-0.2286,-0.12944
1.98,0.34164,0.41352,-0.23451,-0.13541
1.99,0.34911,0.41946,-0.24245,-0.14362
2,0.34718,0.41728,-0.25496,-0.15649
2.01,0.34001,0.41147,-0.2706,-0.17285
2.02,0.33103,0.40465,-0.28369,-0.18701
2.03,0.31683,0.39312,-0.29887,-0.2038
2.04,0.30384,0.38264,-0.31047,-0.21735
2.05,0.28295,0.36457,-0.32671,-0.23626
2.06,0.28276,0.36571,-0.32791,-0.24068
2.07,0.28382,0.36813,-0.32912,-0.24565
2.08,0.28887,0.375,-0.32438,-0.24487
2.09,0.28219,0.37067,-0.326,-0.25258
2.1,0.2691,0.35882,-0.32988,-0.26337
2.11,0.25256,0.34281,-0.3362,-0.27895
2.12,0.23277,0.32392,-0.34373,-0.29628
2.13,0.21865,0.31059,-0.34224,-0.30333
2.14,0.20337,0.29588,-0.34156,-0.31027
2.15,0.18799,0.28061,-0.33756,-0.31223
2.16,0.17405,0.26673,-0.33011,-0.30869
2.17,0.16006,0.25254,-0.32012,-0.30006
2.18,0.15127,0.24349,-0.3034,-0.28178
2.19,0.13445,0.22638,-0.29246,-0.26821
2.2,0.11449,0.20609,-0.28237,-0.25518
2.21,0.09881,0.19025,-0.26826,-0.23741
2.22,0.08864,0.17983,-0.24794,-0.21277
2.23,0.07922,0.17022,-0.22618,-0.18669
2.24,0.06838,0.1593,-0.20548,-0.16169
2.25,0.0566,0.14742,-0.18505,-0.13705
2.26,0.04981,0.14059,-0.15966,-0.10667
2.27,0.0448,0.1357,-0.13277,-0.07442
2.28,0.0343,0.12519,-0.11002,-0.04589
2.29,0.02736,0.11818,-0.08154,-0.01221
2.3,0.01459,0.10542,-0.05932,0.01459
2.31,0.00649,0.09699,-0.03123,0.04742
2.32,-0.01414,0.07683,-0.01493,0.06681
2.33,-0.02936,0.06167,0.00838,0.09314
2.34,-0.03941,0.0518,0.03593,0.12358
2.35,-0.05312,0.03827,0.06143,0.15111
2.36,-0.06862,0.02294,0.08587,0.17722
2.37,-0.0845,0.00723,0.1106,0.20345
2.38,-0.10166,-0.00967,0.13433,0.22806
2.39,-0.11723,-0.02502,0.15915,0.25359
2.4,-0.125,-0.03268,0.19121,0.28605
